mode,V_start,V_end,window_V,n_points,n_features,n_components,R2_LOO,RMSE_LOO,composite,V_selected
I,0.5,0.73,0.23,3,3,2,0.91614,0.41588,0.91272,"[np.float64(0.4996), np.float64(0.6196), np.float64(0.7295)]"
both,0.4,0.76,0.36,4,8,3,0.91606,0.41609,0.91265,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6396), np.float64(0.7595)]"
I,0.4,0.77,0.37,6,6,3,0.91599,0.41625,0.91259,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5496), np.float64(0.6196), np.float64(0.6995), np.float64(0.7695)]"
I,0.45,0.75,0.3,2,2,2,0.91581,0.41669,0.91245,"[np.float64(0.4496), np.float64(0.7495)]"
both,0.5,0.8,0.3,6,12,2,0.91564,0.41713,0.9123,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6795), np.float64(0.7395), np.float64(0.7994)]"
both,0.45,0.78,0.33,6,12,2,0.91546,0.41757,0.91216,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5796), np.float64(0.6495), np.float64(0.7095), np.float64(0.7795)]"
I,0.5,0.76,0.26,5,5,2,0.91543,0.41764,0.91214,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6296), np.float64(0.6995), np.float64(0.7595)]"
both,0.45,0.77,0.32,6,12,2,0.91542,0.41766,0.91213,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5796), np.float64(0.6396), np.float64(0.7095), np.float64(0.7695)]"
I,0.55,0.76,0.21,4,4,2,0.91537,0.4178,0.91208,"[np.float64(0.5496), np.float64(0.6196), np.float64(0.6895), np.float64(0.7595)]"
both,0.4,0.72,0.32,2,4,3,0.91529,0.41799,0.91202,"[np.float64(0.3996), np.float64(0.7195)]"
both,0.5,0.76,0.26,3,6,2,0.91527,0.41803,0.912,"[np.float64(0.4996), np.float64(0.6296), np.float64(0.7595)]"
both,0.45,0.74,0.29,3,6,3,0.91508,0.41851,0.91185,"[np.float64(0.4496), np.float64(0.5896), np.float64(0.7395)]"
