mode,V_start,V_end,window_V,n_points,n_features,n_components,R2_LOO,RMSE_LOO,composite,V_selected
dIdV,0.45,0.79,0.34,4,4,2,0.86255,0.53243,0.8702,"[np.float64(0.4496), np.float64(0.5596), np.float64(0.6795), np.float64(0.7894)]"
dIdV,0.5,0.78,0.28,5,5,2,0.8615,0.53446,0.86939,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.7095), np.float64(0.7795)]"
dIdV,0.5,0.76,0.26,5,5,2,0.86143,0.53461,0.86934,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6296), np.float64(0.6995), np.float64(0.7595)]"
dIdV,0.4,0.67,0.27,5,5,2,0.86116,0.53513,0.86913,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.5996), np.float64(0.6695)]"
both,0.4,0.65,0.25,6,12,2,0.86114,0.53517,0.86911,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495)]"
dIdV,0.55,0.76,0.21,3,3,1,0.86097,0.53548,0.86899,"[np.float64(0.5496), np.float64(0.6495), np.float64(0.7595)]"
dIdV,0.45,0.77,0.32,6,6,2,0.86084,0.53575,0.86888,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5796), np.float64(0.6396), np.float64(0.7095), np.float64(0.7695)]"
dIdV,0.5,0.78,0.28,3,3,1,0.8608,0.53582,0.86885,"[np.float64(0.4996), np.float64(0.6396), np.float64(0.7795)]"
dIdV,0.45,0.77,0.32,5,5,2,0.86066,0.53608,0.86875,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6096), np.float64(0.6895), np.float64(0.7695)]"
dIdV,0.4,0.62,0.22,5,5,2,0.86062,0.53617,0.86871,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5096), np.float64(0.5596), np.float64(0.6196)]"
dIdV,0.4,0.73,0.33,4,4,3,0.86032,0.53674,0.86848,"[np.float64(0.3996), np.float64(0.5096), np.float64(0.6196), np.float64(0.7295)]"
dIdV,0.4,0.62,0.22,2,2,2,0.8602,0.53698,0.86839,"[np.float64(0.3996), np.float64(0.6196)]"
dIdV,0.45,0.72,0.27,5,5,3,0.8601,0.53715,0.86832,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6495), np.float64(0.7195)]"
I,0.45,0.71,0.26,3,3,2,0.86008,0.53719,0.8683,"[np.float64(0.4496), np.float64(0.5796), np.float64(0.7095)]"
dIdV,0.45,0.76,0.31,6,6,2,0.85987,0.53761,0.86813,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6396), np.float64(0.6995), np.float64(0.7595)]"
I,0.45,0.77,0.32,2,2,2,0.85969,0.53795,0.86799,"[np.float64(0.4496), np.float64(0.7695)]"
dIdV,0.4,0.62,0.22,6,6,2,0.85961,0.5381,0.86793,"[np.float64(0.3996), np.float64(0.4396), np.float64(0.4896), np.float64(0.5296), np.float64(0.5796), np.float64(0.6196)]"
dIdV,0.5,0.74,0.24,4,4,3,0.85951,0.5383,0.86785,"[np.float64(0.4996), np.float64(0.5796), np.float64(0.6595), np.float64(0.7395)]"
dIdV,0.45,0.71,0.26,6,6,2,0.85904,0.5392,0.86749,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.6096), np.float64(0.6595), np.float64(0.7095)]"
dIdV,0.5,0.71,0.21,5,5,3,0.85808,0.54102,0.86676,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6595), np.float64(0.7095)]"
dIdV,0.5,0.79,0.29,6,6,3,0.85733,0.54246,0.86618,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6695), np.float64(0.7295), np.float64(0.7894)]"
I,0.4,0.78,0.38,4,4,2,0.85726,0.5426,0.86612,"[np.float64(0.3996), np.float64(0.5296), np.float64(0.6495), np.float64(0.7795)]"
dIdV,0.4,0.62,0.22,3,3,2,0.85707,0.54294,0.86598,"[np.float64(0.3996), np.float64(0.5096), np.float64(0.6196)]"
dIdV,0.4,0.67,0.27,6,6,2,0.85672,0.54362,0.86571,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.5096), np.float64(0.5596), np.float64(0.6196), np.float64(0.6695)]"
dIdV,0.4,0.72,0.32,6,6,2,0.85647,0.54409,0.86552,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5296), np.float64(0.5896), np.float64(0.6595), np.float64(0.7195)]"
dIdV,0.45,0.75,0.3,3,3,3,0.85608,0.54482,0.86522,"[np.float64(0.4496), np.float64(0.5996), np.float64(0.7495)]"
dIdV,0.4,0.8,0.4,4,4,1,0.85566,0.54562,0.8649,"[np.float64(0.3996), np.float64(0.5296), np.float64(0.6695), np.float64(0.7994)]"
both,0.4,0.64,0.24,3,6,2,0.85558,0.54576,0.86484,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6396)]"
dIdV,0.4,0.61,0.21,5,5,2,0.85502,0.54684,0.8644,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4996), np.float64(0.5596), np.float64(0.6096)]"
both,0.45,0.68,0.23,2,4,2,0.85488,0.54709,0.8643,"[np.float64(0.4496), np.float64(0.6795)]"
dIdV,0.55,0.78,0.23,5,5,3,0.85347,0.54974,0.86322,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6695), np.float64(0.7195), np.float64(0.7795)]"
I,0.45,0.71,0.26,5,5,2,0.85321,0.55024,0.86302,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5796), np.float64(0.6495), np.float64(0.7095)]"
dIdV,0.45,0.73,0.28,5,5,3,0.85312,0.5504,0.86295,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6595), np.float64(0.7295)]"
dIdV,0.4,0.73,0.33,5,5,2,0.85295,0.55072,0.86282,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6495), np.float64(0.7295)]"
dIdV,0.45,0.78,0.33,4,4,1,0.85288,0.55085,0.86276,"[np.float64(0.4496), np.float64(0.5596), np.float64(0.6695), np.float64(0.7795)]"
dIdV,0.45,0.78,0.33,6,6,2,0.85286,0.55088,0.86275,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5796), np.float64(0.6495), np.float64(0.7095), np.float64(0.7795)]"
dIdV,0.55,0.8,0.25,3,3,1,0.85269,0.55121,0.86261,"[np.float64(0.5496), np.float64(0.6695), np.float64(0.7994)]"
I,0.4,0.8,0.4,6,6,2,0.85229,0.55196,0.86231,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6396), np.float64(0.7195), np.float64(0.7994)]"
dIdV,0.4,0.67,0.27,4,4,2,0.85196,0.55256,0.86206,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5796), np.float64(0.6695)]"
dIdV,0.4,0.61,0.21,6,6,2,0.8518,0.55286,0.86194,"[np.float64(0.3996), np.float64(0.4396), np.float64(0.4796), np.float64(0.5296), np.float64(0.5696), np.float64(0.6096)]"
dIdV,0.45,0.8,0.35,2,2,2,0.85179,0.55289,0.86193,"[np.float64(0.4496), np.float64(0.7994)]"
I,0.45,0.71,0.26,6,6,2,0.85154,0.55335,0.86174,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.6096), np.float64(0.6595), np.float64(0.7095)]"
dIdV,0.5,0.72,0.22,4,4,2,0.85107,0.55422,0.86138,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6495), np.float64(0.7195)]"
dIdV,0.4,0.76,0.36,6,6,2,0.85042,0.55544,0.86088,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6196), np.float64(0.6895), np.float64(0.7595)]"
dIdV,0.4,0.65,0.25,3,3,2,0.85036,0.55555,0.86083,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6495)]"
dIdV,0.55,0.79,0.24,3,3,1,0.85021,0.55583,0.86072,"[np.float64(0.5496), np.float64(0.6695), np.float64(0.7894)]"
I,0.5,0.78,0.28,3,3,2,0.85018,0.55588,0.8607,"[np.float64(0.4996), np.float64(0.6396), np.float64(0.7795)]"
dIdV,0.4,0.6,0.2,5,5,2,0.8501,0.55602,0.86064,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5996)]"
I,0.45,0.71,0.26,4,4,2,0.85008,0.55607,0.86062,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6196), np.float64(0.7095)]"
both,0.45,0.66,0.21,2,4,2,0.84949,0.55715,0.86017,"[np.float64(0.4496), np.float64(0.6595)]"
dIdV,0.4,0.71,0.31,3,3,2,0.84946,0.55722,0.86014,"[np.float64(0.3996), np.float64(0.5596), np.float64(0.7095)]"
I,0.45,0.79,0.34,4,4,2,0.84934,0.55743,0.86006,"[np.float64(0.4496), np.float64(0.5596), np.float64(0.6795), np.float64(0.7894)]"
dIdV,0.55,0.77,0.22,4,4,2,0.84918,0.55774,0.85993,"[np.float64(0.5496), np.float64(0.6196), np.float64(0.6995), np.float64(0.7695)]"
I,0.55,0.77,0.22,2,2,2,0.84881,0.55842,0.85965,"[np.float64(0.5496), np.float64(0.7695)]"
dIdV,0.45,0.75,0.3,6,6,2,0.84863,0.55875,0.85951,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6296), np.float64(0.6895), np.float64(0.7495)]"
dIdV,0.4,0.6,0.2,6,6,2,0.84848,0.55903,0.85939,"[np.float64(0.3996), np.float64(0.4396), np.float64(0.4796), np.float64(0.5196), np.float64(0.5596), np.float64(0.5996)]"
I,0.4,0.8,0.4,5,5,3,0.84807,0.55978,0.85909,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5996), np.float64(0.6995), np.float64(0.7994)]"
dIdV,0.45,0.75,0.3,4,4,3,0.8475,0.56083,0.85865,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6495), np.float64(0.7495)]"
dIdV,0.5,0.7,0.2,6,6,2,0.84726,0.56128,0.85846,"[np.float64(0.4996), np.float64(0.5396), np.float64(0.5796), np.float64(0.6196), np.float64(0.6595), np.float64(0.6995)]"
I,0.45,0.8,0.35,5,5,2,0.84711,0.56155,0.85835,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6296), np.float64(0.7095), np.float64(0.7994)]"
I,0.4,0.73,0.33,5,5,3,0.84672,0.56225,0.85806,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6495), np.float64(0.7295)]"
dIdV,0.5,0.73,0.23,5,5,3,0.84663,0.56243,0.85798,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6695), np.float64(0.7295)]"
I,0.45,0.68,0.23,2,2,2,0.84652,0.56262,0.8579,"[np.float64(0.4496), np.float64(0.6795)]"
dIdV,0.4,0.61,0.21,4,4,2,0.84634,0.56295,0.85777,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6096)]"
I,0.5,0.77,0.27,2,2,2,0.84622,0.56318,0.85767,"[np.float64(0.4996), np.float64(0.7695)]"
dIdV,0.4,0.61,0.21,3,3,2,0.84591,0.56374,0.85744,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.6096)]"
dIdV,0.5,0.77,0.27,5,5,2,0.8459,0.56376,0.85743,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.6995), np.float64(0.7695)]"
dIdV,0.55,0.78,0.23,4,4,2,0.84543,0.56463,0.85707,"[np.float64(0.5496), np.float64(0.6296), np.float64(0.6995), np.float64(0.7795)]"
both,0.4,0.64,0.24,4,8,2,0.84529,0.56488,0.85696,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6396)]"
I,0.4,0.78,0.38,3,3,2,0.84523,0.56499,0.85692,"[np.float64(0.3996), np.float64(0.5896), np.float64(0.7795)]"
dIdV,0.45,0.68,0.23,5,5,2,0.84499,0.56542,0.85674,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6196), np.float64(0.6795)]"
I,0.45,0.78,0.33,3,3,2,0.84492,0.56556,0.85668,"[np.float64(0.4496), np.float64(0.6096), np.float64(0.7795)]"
dIdV,0.55,0.75,0.2,3,3,1,0.84415,0.56696,0.85609,"[np.float64(0.5496), np.float64(0.6495), np.float64(0.7495)]"
I,0.4,0.73,0.33,6,6,3,0.84406,0.56711,0.85603,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5296), np.float64(0.5996), np.float64(0.6595), np.float64(0.7295)]"
dIdV,0.5,0.76,0.26,4,4,1,0.84387,0.56746,0.85588,"[np.float64(0.4996), np.float64(0.5896), np.float64(0.6695), np.float64(0.7595)]"
dIdV,0.4,0.63,0.23,2,2,2,0.8435,0.56813,0.8556,"[np.float64(0.3996), np.float64(0.6296)]"
dIdV,0.4,0.77,0.37,3,3,2,0.84321,0.56866,0.85538,"[np.float64(0.3996), np.float64(0.5796), np.float64(0.7695)]"
dIdV,0.45,0.66,0.21,2,2,1,0.84307,0.56892,0.85527,"[np.float64(0.4496), np.float64(0.6595)]"
I,0.4,0.69,0.29,2,2,2,0.84248,0.56998,0.85482,"[np.float64(0.3996), np.float64(0.6895)]"
dIdV,0.5,0.77,0.27,3,3,1,0.84232,0.57027,0.8547,"[np.float64(0.4996), np.float64(0.6396), np.float64(0.7695)]"
dIdV,0.4,0.6,0.2,3,3,2,0.84225,0.57041,0.85464,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5996)]"
I,0.4,0.79,0.39,4,4,3,0.84215,0.57058,0.85457,"[np.float64(0.3996), np.float64(0.5296), np.float64(0.6595), np.float64(0.7894)]"
dIdV,0.45,0.73,0.28,6,6,3,0.84212,0.57064,0.85455,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5596), np.float64(0.6196), np.float64(0.6695), np.float64(0.7295)]"
both,0.4,0.62,0.22,2,4,2,0.84208,0.5707,0.85452,"[np.float64(0.3996), np.float64(0.6196)]"
dIdV,0.4,0.78,0.38,4,4,2,0.84205,0.57076,0.8545,"[np.float64(0.3996), np.float64(0.5296), np.float64(0.6495), np.float64(0.7795)]"
I,0.45,0.7,0.25,3,3,2,0.84158,0.57162,0.85414,"[np.float64(0.4496), np.float64(0.5696), np.float64(0.6995)]"
dIdV,0.55,0.78,0.23,3,3,1,0.84144,0.57186,0.85404,"[np.float64(0.5496), np.float64(0.6695), np.float64(0.7795)]"
dIdV,0.45,0.72,0.27,6,6,2,0.8412,0.5723,0.85385,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6695), np.float64(0.7195)]"
dIdV,0.55,0.77,0.22,5,5,1,0.84089,0.57285,0.85362,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6595), np.float64(0.7095), np.float64(0.7695)]"
dIdV,0.45,0.68,0.23,6,6,2,0.8407,0.57319,0.85347,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5396), np.float64(0.5896), np.float64(0.6296), np.float64(0.6795)]"
dIdV,0.5,0.75,0.25,6,6,2,0.84061,0.57337,0.8534,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495)]"
dIdV,0.4,0.73,0.33,6,6,2,0.84017,0.57415,0.85307,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5296), np.float64(0.5996), np.float64(0.6595), np.float64(0.7295)]"
dIdV,0.45,0.7,0.25,3,3,2,0.83894,0.57636,0.85213,"[np.float64(0.4496), np.float64(0.5696), np.float64(0.6995)]"
dIdV,0.4,0.65,0.25,2,2,1,0.83888,0.57646,0.85209,"[np.float64(0.3996), np.float64(0.6495)]"
dIdV,0.5,0.75,0.25,5,5,2,0.83869,0.5768,0.85194,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6895), np.float64(0.7495)]"
dIdV,0.45,0.77,0.32,4,4,1,0.83822,0.57764,0.85159,"[np.float64(0.4496), np.float64(0.5596), np.float64(0.6595), np.float64(0.7695)]"
dIdV,0.6,0.8,0.2,6,6,3,0.83672,0.58031,0.85045,"[np.float64(0.5996), np.float64(0.6396), np.float64(0.6795), np.float64(0.7195), np.float64(0.7595), np.float64(0.7994)]"
dIdV,0.4,0.78,0.38,5,5,2,0.83646,0.58078,0.85025,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5896), np.float64(0.6795), np.float64(0.7795)]"
dIdV,0.5,0.78,0.28,6,6,3,0.83606,0.58149,0.84995,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6695), np.float64(0.7195), np.float64(0.7795)]"
I,0.5,0.8,0.3,3,3,3,0.83602,0.58156,0.84992,"[np.float64(0.4996), np.float64(0.6495), np.float64(0.7994)]"
dIdV,0.55,0.78,0.23,2,2,1,0.83578,0.58197,0.84974,"[np.float64(0.5496), np.float64(0.7795)]"
dIdV,0.5,0.8,0.3,2,2,2,0.83541,0.58265,0.84945,"[np.float64(0.4996), np.float64(0.7994)]"
dIdV,0.45,0.71,0.26,3,3,3,0.83518,0.58304,0.84928,"[np.float64(0.4496), np.float64(0.5796), np.float64(0.7095)]"
both,0.4,0.64,0.24,5,10,2,0.83498,0.5834,0.84913,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5796), np.float64(0.6396)]"
dIdV,0.4,0.6,0.2,4,4,2,0.83488,0.58358,0.84905,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5296), np.float64(0.5996)]"
dIdV,0.45,0.67,0.22,3,3,1,0.83483,0.58366,0.84902,"[np.float64(0.4496), np.float64(0.5596), np.float64(0.6695)]"
I,0.45,0.7,0.25,4,4,2,0.83482,0.58367,0.84901,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6196), np.float64(0.6995)]"
dIdV,0.5,0.71,0.21,6,6,1,0.83413,0.5849,0.84849,"[np.float64(0.4996), np.float64(0.5396), np.float64(0.5796), np.float64(0.6296), np.float64(0.6695), np.float64(0.7095)]"
both,0.4,0.6,0.2,2,4,3,0.83405,0.58503,0.84843,"[np.float64(0.3996), np.float64(0.5996)]"
dIdV,0.55,0.78,0.23,6,6,3,0.83352,0.58598,0.84802,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6396), np.float64(0.6895), np.float64(0.7295), np.float64(0.7795)]"
dIdV,0.5,0.72,0.22,6,6,2,0.83334,0.5863,0.84789,"[np.float64(0.4996), np.float64(0.5396), np.float64(0.5896), np.float64(0.6296), np.float64(0.6795), np.float64(0.7195)]"
both,0.4,0.64,0.24,6,12,2,0.83331,0.58635,0.84787,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4996), np.float64(0.5396), np.float64(0.5896), np.float64(0.6396)]"
I,0.45,0.7,0.25,5,5,2,0.83298,0.58692,0.84762,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6396), np.float64(0.6995)]"
dIdV,0.4,0.66,0.26,3,3,1,0.83241,0.58792,0.84719,"[np.float64(0.3996), np.float64(0.5296), np.float64(0.6595)]"
dIdV,0.4,0.64,0.24,2,2,1,0.83178,0.58903,0.84671,"[np.float64(0.3996), np.float64(0.6396)]"
I,0.4,0.72,0.32,3,3,2,0.83166,0.58924,0.84662,"[np.float64(0.3996), np.float64(0.5596), np.float64(0.7195)]"
dIdV,0.45,0.74,0.29,5,5,3,0.83126,0.58993,0.84632,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6695), np.float64(0.7395)]"
dIdV,0.45,0.74,0.29,6,6,3,0.83089,0.59059,0.84604,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6196), np.float64(0.6795), np.float64(0.7395)]"
dIdV,0.5,0.76,0.26,6,6,2,0.83045,0.59135,0.84571,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6595), np.float64(0.7095), np.float64(0.7595)]"
I,0.45,0.7,0.25,6,6,2,0.83008,0.592,0.84542,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995)]"
I,0.5,0.79,0.29,3,3,3,0.82966,0.59273,0.84511,"[np.float64(0.4996), np.float64(0.6396), np.float64(0.7894)]"
dIdV,0.4,0.68,0.28,3,3,2,0.82884,0.59415,0.84449,"[np.float64(0.3996), np.float64(0.5396), np.float64(0.6795)]"
both,0.4,0.66,0.26,2,4,2,0.82877,0.59427,0.84444,"[np.float64(0.3996), np.float64(0.6595)]"
both,0.4,0.6,0.2,3,6,3,0.82835,0.595,0.84412,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5996)]"
dIdV,0.45,0.66,0.21,3,3,1,0.82818,0.5953,0.84399,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6595)]"
dIdV,0.4,0.72,0.32,3,3,2,0.82768,0.59617,0.84361,"[np.float64(0.3996), np.float64(0.5596), np.float64(0.7195)]"
both,0.45,0.67,0.22,2,4,2,0.82744,0.59658,0.84343,"[np.float64(0.4496), np.float64(0.6695)]"
dIdV,0.5,0.77,0.27,6,6,3,0.82664,0.59796,0.84283,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.6096), np.float64(0.6595), np.float64(0.7195), np.float64(0.7695)]"
dIdV,0.4,0.76,0.36,4,4,2,0.82664,0.59796,0.84283,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6396), np.float64(0.7595)]"
both,0.4,0.63,0.23,3,6,2,0.82644,0.59831,0.84268,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6296)]"
dIdV,0.4,0.77,0.37,5,5,2,0.82615,0.5988,0.84246,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5796), np.float64(0.6795), np.float64(0.7695)]"
dIdV,0.55,0.76,0.21,5,5,1,0.82524,0.60036,0.84178,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.7095), np.float64(0.7595)]"
dIdV,0.45,0.67,0.22,4,4,1,0.82381,0.60282,0.8407,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5996), np.float64(0.6695)]"
dIdV,0.4,0.76,0.36,3,3,2,0.82355,0.60327,0.84051,"[np.float64(0.3996), np.float64(0.5796), np.float64(0.7595)]"
dIdV,0.45,0.65,0.2,5,5,2,0.82286,0.60444,0.83999,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495)]"
dIdV,0.55,0.77,0.22,6,6,3,0.82247,0.6051,0.8397,"[np.float64(0.5496), np.float64(0.5896), np.float64(0.6396), np.float64(0.6795), np.float64(0.7295), np.float64(0.7695)]"
both,0.4,0.69,0.29,2,4,3,0.82117,0.60732,0.83872,"[np.float64(0.3996), np.float64(0.6895)]"
both,0.4,0.6,0.2,4,8,3,0.82036,0.60869,0.83811,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5296), np.float64(0.5996)]"
I,0.45,0.67,0.22,2,2,2,0.82034,0.60873,0.83809,"[np.float64(0.4496), np.float64(0.6695)]"
dIdV,0.4,0.77,0.37,4,4,2,0.82022,0.60893,0.83801,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6495), np.float64(0.7695)]"
dIdV,0.45,0.67,0.22,5,5,1,0.81868,0.61154,0.83685,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5596), np.float64(0.6096), np.float64(0.6695)]"
dIdV,0.4,0.74,0.34,6,6,2,0.81868,0.61153,0.83685,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.5996), np.float64(0.6695), np.float64(0.7395)]"
dIdV,0.45,0.65,0.2,6,6,2,0.81864,0.6116,0.83682,"[np.float64(0.4496), np.float64(0.4896), np.float64(0.5296), np.float64(0.5696), np.float64(0.6096), np.float64(0.6495)]"
dIdV,0.5,0.75,0.25,4,4,1,0.81835,0.61208,0.8366,"[np.float64(0.4996), np.float64(0.5796), np.float64(0.6695), np.float64(0.7495)]"
I,0.4,0.72,0.32,4,4,2,0.81769,0.6132,0.83611,"[np.float64(0.3996), np.float64(0.5096), np.float64(0.6096), np.float64(0.7195)]"
both,0.4,0.61,0.21,2,4,2,0.81677,0.61475,0.83542,"[np.float64(0.3996), np.float64(0.6096)]"
dIdV,0.4,0.74,0.34,5,5,2,0.81676,0.61476,0.83541,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5696), np.float64(0.6595), np.float64(0.7395)]"
dIdV,0.4,0.75,0.35,3,3,2,0.81623,0.61565,0.83502,"[np.float64(0.3996), np.float64(0.5796), np.float64(0.7495)]"
dIdV,0.4,0.74,0.34,3,3,2,0.81613,0.61581,0.83494,"[np.float64(0.3996), np.float64(0.5696), np.float64(0.7395)]"
I,0.4,0.72,0.32,5,5,2,0.81611,0.61585,0.83492,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6396), np.float64(0.7195)]"
dIdV,0.45,0.67,0.22,6,6,1,0.81552,0.61684,0.83448,"[np.float64(0.4496), np.float64(0.4896), np.float64(0.5396), np.float64(0.5796), np.float64(0.6296), np.float64(0.6695)]"
dIdV,0.45,0.8,0.35,3,3,2,0.81544,0.61697,0.83442,"[np.float64(0.4496), np.float64(0.6296), np.float64(0.7994)]"
I,0.45,0.69,0.24,3,3,2,0.81528,0.61724,0.8343,"[np.float64(0.4496), np.float64(0.5696), np.float64(0.6895)]"
dIdV,0.45,0.66,0.21,4,4,1,0.81527,0.61726,0.83429,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6595)]"
dIdV,0.4,0.75,0.35,6,6,2,0.81513,0.61749,0.83419,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6096), np.float64(0.6795), np.float64(0.7495)]"
both,0.4,0.6,0.2,5,10,3,0.8143,0.61887,0.83357,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5996)]"
dIdV,0.4,0.75,0.35,5,5,2,0.81371,0.61985,0.83313,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5796), np.float64(0.6595), np.float64(0.7495)]"
dIdV,0.5,0.77,0.27,4,4,1,0.8136,0.62004,0.83305,"[np.float64(0.4996), np.float64(0.5896), np.float64(0.6795), np.float64(0.7695)]"
I,0.45,0.8,0.35,4,4,2,0.81329,0.62055,0.83282,"[np.float64(0.4496), np.float64(0.5696), np.float64(0.6795), np.float64(0.7994)]"
dIdV,0.45,0.65,0.2,4,4,2,0.81313,0.62083,0.83269,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5796), np.float64(0.6495)]"
both,0.4,0.63,0.23,4,8,2,0.8128,0.62136,0.83245,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5496), np.float64(0.6296)]"
dIdV,0.4,0.73,0.33,3,3,2,0.81257,0.62175,0.83228,"[np.float64(0.3996), np.float64(0.5596), np.float64(0.7295)]"
dIdV,0.5,0.7,0.2,2,2,2,0.81037,0.62539,0.83063,"[np.float64(0.4996), np.float64(0.6995)]"
I,0.45,0.79,0.34,3,3,2,0.80988,0.62619,0.83027,"[np.float64(0.4496), np.float64(0.6196), np.float64(0.7894)]"
dIdV,0.4,0.67,0.27,3,3,2,0.80942,0.62696,0.82992,"[np.float64(0.3996), np.float64(0.5396), np.float64(0.6695)]"
dIdV,0.45,0.65,0.2,3,3,2,0.80864,0.62823,0.82934,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6495)]"
dIdV,0.4,0.78,0.38,2,2,2,0.80805,0.6292,0.8289,"[np.float64(0.3996), np.float64(0.7795)]"
