V_start,V_end,window_V,n_points,n_components,R2_LOO,RMSE_LOO,composite,V_selected
0.45,0.73,0.28,5,2,0.88244,0.49242,0.88569,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6595), np.float64(0.7295)]"
0.45,0.78,0.33,5,2,0.88206,0.4932,0.8854,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6096), np.float64(0.6995), np.float64(0.7795)]"
0.5,0.8,0.3,5,3,0.88125,0.4949,0.88476,"[np.float64(0.4996), np.float64(0.5796), np.float64(0.6495), np.float64(0.7195), np.float64(0.7994)]"
0.45,0.73,0.28,6,2,0.88076,0.49592,0.88437,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5596), np.float64(0.6196), np.float64(0.6695), np.float64(0.7295)]"
0.5,0.78,0.28,4,2,0.8796,0.49832,0.88346,"[np.float64(0.4996), np.float64(0.5896), np.float64(0.6895), np.float64(0.7795)]"
0.4,0.76,0.36,2,2,0.87947,0.4986,0.88336,"[np.float64(0.3996), np.float64(0.7595)]"
0.45,0.77,0.32,3,2,0.87792,0.50179,0.88215,"[np.float64(0.4496), np.float64(0.6096), np.float64(0.7695)]"
0.45,0.72,0.27,3,2,0.87702,0.50363,0.88144,"[np.float64(0.4496), np.float64(0.5896), np.float64(0.7195)]"
0.5,0.8,0.3,4,3,0.87464,0.50848,0.87959,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.6995), np.float64(0.7994)]"
0.4,0.78,0.38,5,3,0.87464,0.50848,0.87958,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5896), np.float64(0.6795), np.float64(0.7795)]"
0.4,0.7,0.3,2,2,0.87454,0.50869,0.87951,"[np.float64(0.3996), np.float64(0.6995)]"
0.45,0.79,0.34,6,2,0.87383,0.51011,0.87896,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6495), np.float64(0.7195), np.float64(0.7894)]"
0.4,0.77,0.37,3,2,0.87346,0.51087,0.87867,"[np.float64(0.3996), np.float64(0.5796), np.float64(0.7695)]"
0.5,0.79,0.29,4,3,0.87197,0.51386,0.87751,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.6895), np.float64(0.7894)]"
0.4,0.79,0.39,5,3,0.87107,0.51568,0.8768,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5996), np.float64(0.6895), np.float64(0.7894)]"
0.45,0.72,0.27,4,2,0.87046,0.51689,0.87633,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6296), np.float64(0.7195)]"
0.45,0.78,0.33,4,2,0.86972,0.51836,0.87576,"[np.float64(0.4496), np.float64(0.5596), np.float64(0.6695), np.float64(0.7795)]"
0.45,0.69,0.24,2,2,0.86871,0.52037,0.87497,"[np.float64(0.4496), np.float64(0.6895)]"
0.45,0.72,0.27,6,2,0.86806,0.52166,0.87447,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6695), np.float64(0.7195)]"
